migration_rate,biotic_coeff,abiotic_coeff,fixed_interaction_mat,selection_coeff,correlated_div,modular_div,div_diff
0.0,0.1,0.0,5,0.5,0.08547625017786083,0.06708928527838268,0.01838696489947815
0.0,5.0,0.5,7,0.5,0.237229640636754,0.2648936098271475,-0.02766396919039349
0.0,2.0,1.0,5,0.01,2.3756935009023477,2.3800044733737398,-0.004310972471392116
0.0,5.0,5.0,10,0.5,2.296055405319848,2.4377823736861277,-0.14172696836627985
0.0,0.0,2.0,10,0.5,2.57447849872188,2.578007053179815,-0.003528554457935318
0.0,2.0,5.0,6,0.5,2.3041208157202604,2.499477396336379,-0.1953565806161186
0.0,0.5,0.0,10,0.12,2.3770455827108137,2.402624908703828,-0.02557932599301438
0.0,0.1,2.0,5,0.12,2.6342002804743223,2.638202081082586,-0.004001800608263828
0.0,1.0,1.0,1,0.12,2.272282366224815,2.3084224066411054,-0.036140040416290375
0.0,0.0,2.0,8,0.12,2.5939256541360747,2.5856995580457904,0.00822609609028424
0.0,0.0,5.0,9,0.5,2.5924454690366456,2.592143827621356,0.00030164141528965516
0.0,0.1,0.5,7,0.12,2.3881862104243123,2.4992408727869426,-0.11105466236263029
0.0,5.0,5.0,6,0.01,2.157414642506939,2.3533151784192508,-0.19590053591231182
0.0,0.1,1.0,5,0.12,2.403161640060179,2.5912568109903114,-0.1880951709301324
0.0,0.0,0.0,7,0.12,2.5925747118374436,2.595361366018901,-0.002786654181457404
0.0,5.0,2.0,2,0.01,2.550580425761975,2.410417265963527,0.14016315979844807
0.0,1.0,0.0,1,0.12,2.3455140457995487,2.256015858008513,0.08949818779103591
0.0,1.0,5.0,6,0.01,2.2596395332187194,2.350154351757305,-0.09051481853858556
0.0,0.0,1.0,6,0.01,2.594676127004423,2.593242055127103,0.0014340718773202532
0.0,0.1,0.0,5,0.12,2.383047234079338,2.4450792157666057,-0.062031981687267645
0.0,0.0,0.1,3,0.01,2.5942358824989764,2.5912022184787045,0.0030336640202719423
0.0,0.0,0.0,8,0.12,2.591266651225226,2.591794453961335,-0.0005278027361090842
0.0,2.0,2.0,9,0.5,1.7177706074616625,2.3104331889103866,-0.5926625814487241
