migration_rate,biotic_coeff,fixed_interaction_mat,abiotic_coeff,selection_coeff,diversity_index
0.0,0.1,5,0.0,0.5,0.06708928527838268
0.0,5.0,7,0.5,0.5,0.2648936098271475
0.0,0.0,3,5.0,0.5,2.5923539377796834
0.0,2.0,5,1.0,0.01,2.3800044733737398
0.0,5.0,10,5.0,0.5,2.4377823736861277
0.0,0.0,10,2.0,0.5,2.578007053179815
0.0,2.0,6,5.0,0.5,2.499477396336379
0.0,0.5,10,0.0,0.12,2.402624908703828
0.0,0.1,5,2.0,0.12,2.638202081082586
0.0,1.0,1,1.0,0.12,2.3084224066411054
0.0,0.0,8,2.0,0.12,2.5856995580457904
0.0,0.0,9,5.0,0.5,2.592143827621356
0.0,0.1,7,0.5,0.12,2.4992408727869426
0.0,5.0,6,5.0,0.01,2.3533151784192508
0.0,0.1,5,1.0,0.12,2.5912568109903114
0.0,0.0,7,0.0,0.12,2.595361366018901
0.0,5.0,2,2.0,0.01,2.410417265963527
0.0,1.0,1,0.0,0.12,2.256015858008513
0.0,1.0,6,5.0,0.01,2.350154351757305
0.0,0.0,6,1.0,0.01,2.593242055127103
0.0,0.1,5,0.0,0.12,2.4450792157666057
0.0,0.0,3,0.1,0.01,2.5912022184787045
0.0,0.0,8,0.0,0.12,2.591794453961335
0.0,2.0,9,2.0,0.5,2.3104331889103866
0.0,5.0,3,2.0,0.01,2.1251953515933955
0.0,1.0,5,2.0,0.12,2.4924664951646336
0.0,0.1,4,2.0,0.01,2.5004548690526187
0.0,0.0,10,1.0,0.12,2.593162840790409
0.0,1.0,10,0.1,0.01,2.419795659834239
0.0,0.0,9,0.5,0.5,2.5615098445354803
0.0,2.0,3,0.0,0.5,0.06657441885628566
0.0,0.1,4,1.0,0.01,2.6107495354839596
0.0,0.1,5,5.0,0.01,2.522839110841558
0.0,1.0,6,0.1,0.5,0.06830123113856074
0.0,5.0,1,0.1,0.5,0.06622794802036504
0.0,0.0,4,0.5,0.5,2.5849033177158325
0.0,2.0,5,5.0,0.5,2.2080192421724134
0.0,1.0,2,0.0,0.01,2.283209722943377
0.0,2.0,9,0.0,0.5,0.09340032490641523
0.0,1.0,9,2.0,0.01,2.2593847794105884
0.0,2.0,2,0.0,0.12,2.196351830091421
0.0,0.5,2,0.0,0.5,0.06815648746333786
0.0,1.0,6,0.5,0.01,2.3274201520347604
0.0,0.5,6,5.0,0.12,2.489650113099571
0.0,2.0,9,2.0,0.12,2.4420673814343967
0.0,0.1,8,2.0,0.5,1.8765502699754018
0.0,0.5,6,0.1,0.01,2.369162446380415
0.0,0.1,5,0.1,0.5,0.06715435542155604
0.0,0.0,7,0.5,0.01,2.5916099821994805
0.0,0.0,9,0.5,0.12,2.5915835416747237
0.0,0.0,8,0.1,0.5,2.525668622590478
0.0,0.0,5,1.0,0.01,2.5888126211302778
0.0,1.0,4,1.0,0.01,2.2758291437978073
0.0,0.5,1,0.1,0.01,2.35949135241629
0.0,1.0,9,0.0,0.01,2.320370461089765
0.0,5.0,8,2.0,0.5,2.372869198411987
0.0,0.0,4,0.5,0.12,2.5922003429755787
0.0,0.1,10,2.0,0.5,1.6236334291641596
0.0,2.0,5,0.5,0.5,0.25543471557770175
0.0,5.0,7,0.0,0.5,0.06754005945933703
0.0,1.0,7,1.0,0.5,1.0551760972797217
0.0,0.5,2,0.0,0.12,2.488594139837318
0.0,1.0,8,2.0,0.5,2.031141659890079
0.0,0.5,7,2.0,0.01,2.4918571751875755
0.0,1.0,1,0.1,0.12,2.4230758484463824
0.0,0.1,8,2.0,0.12,2.6784500372119098
0.0,0.1,2,0.5,0.5,0.4327586312078996
0.0,0.5,4,2.0,0.12,2.562504710423321
0.0,0.5,3,0.0,0.12,2.231780745490089
0.0,0.0,2,0.0,0.5,2.56103414173924
0.0,0.1,6,1.0,0.01,2.640189844065685
0.0,1.0,5,0.5,0.01,2.372362733270483
0.0,0.1,3,5.0,0.12,2.6882985316356938
0.0,0.1,1,2.0,0.01,2.54507419808257
0.0,0.5,4,1.0,0.12,2.5056495006304496
0.0,5.0,2,5.0,0.12,2.5405284093216483
0.0,0.0,6,0.5,0.5,2.5870823046201155
0.0,0.5,7,0.0,0.01,2.5369823971930936
0.0,5.0,2,0.1,0.01,2.3092423591901343
0.0,5.0,8,1.0,0.12,2.3614995701966413
0.0,0.5,4,0.0,0.12,2.3250398228836437
0.0,0.0,2,1.0,0.12,2.5861627710413373
0.0,0.1,9,0.1,0.01,2.6329072407313516
0.0,0.0,10,0.1,0.12,2.5940182697534233
0.0,5.0,1,2.0,0.01,2.5445151165970312
0.0,0.5,8,0.0,0.01,2.4352842139544184
0.0,5.0,3,0.5,0.5,0.06916276113783637
0.0,0.1,4,5.0,0.12,2.3907923761953604
0.0,1.0,10,0.0,0.5,0.06924353643323032
0.0,5.0,6,0.0,0.01,2.310311970792164
0.0,1.0,6,1.0,0.01,2.396187289432794
0.0,0.0,4,0.0,0.5,2.5403231393961256
