2 2 2 2 2
0 0 0 0 0 1.012859861
0 0 0 0 1 0.912873816
0 0 0 1 0 0.980338804
0 0 0 1 1 0.702711494
0 0 1 0 0 1.336086425
0 0 1 0 1 1.265754398
0 0 1 1 0 1.352958707
0 0 1 1 1 1.031676416
0 1 0 0 0 1.189015362
0 1 0 0 1 1.194283942
0 1 0 1 0 1.02218454
0 1 0 1 1 1.009021723
0 1 1 0 0 1.331140812
0 1 1 0 1 1.373208819
0 1 1 1 0 1.293966265
0 1 1 1 1 1.276847338
1 0 0 0 0 1.196096038
1 0 0 0 1 1.031635727
1 0 0 1 0 1.152586116
1 0 0 1 1 1.151158573
1 0 1 0 0 1.448088254
1 0 1 0 1 1.365297015
1 0 1 1 0 1.460675375
1 0 1 1 1 1.340685461
1 1 0 0 0 0.972495406
1 1 0 0 1 1.047313701
1 1 0 1 0 1.105847528
1 1 0 1 1 1.019252608
1 1 1 0 0 1.124990196
1 1 1 0 1 1.259102045
1 1 1 1 0 1.224475542
1 1 1 1 1 1.281699874
